Country,Airlines,Model Series,Region
Bhutan,Bhutan Airlines,A319,Asia-Pacific
Sweden,Braathens International Airways,A319,Europe
United Kingdom,British Airways,A319,Europe
Belgium,Brussels Airlines,A319,Europe
Bulgaria,Bulgaria Air,A319,Europe
Cambodia,Cambodia Airways,A319,Asia-Pacific
Romania,Carpatair,A319,Europe
Switzerland,Chair Airlines,A319,Europe
China,Chengdu Airlines,A319,Asia-Pacific
China,China Eastern Airlines,A319,Asia-Pacific
China,China Southern Airlines,A319,Asia-Pacific
China,Chongqing Airlines,A319,Asia-Pacific
Russian Federation,Citrus,A319,Europe
Bermuda,Coral Jet,A319,Latin America & Caribbean
Croatia,Croatia Airlines,A319,Europe
Romania,Dan Air,A319,Europe
United States,Delta Air Lines,A319,North America
Bhutan,Druk Air,A319,Asia-Pacific
United Kingdom,Easyjet,A319,Europe
Germany,Eurowings,A319,Europe
Austria,Eurowings Europe,A319,Europe
Malta,Eurowings Europe Malta,A319,Europe
"Taiwan, Republic Of China",Eva Air,A319,Asia-Pacific
Finland,Finnair,A319,Europe
Nigeria,First Nation Airways,A319,Africa
Croatia,Fly Air 41 Airways,A319,Europe
Germany,Germanwings,A319,Europe
Lithuania,Getjet Airlines,A319,Europe
United States,Global Crossing Airlines,A319,North America
Malta,Hi Fly Malta,A319,Europe
Nepal,Himalaya Airlines,A319,Asia-Pacific
Moldova,Hisky,A319,Europe
Spain,Iberia,A319,Europe
Russian Federation,Iraero Airlines,A319,Europe
Italy,Ita Airways,A319,Europe
Chile,Latam Airlines Group,A319,Latin America & Caribbean
Libya,Libyan Wings,A319,Africa
China,Loong Air,A319,Asia-Pacific
Germany,Lufthansa,A319,Europe
Germany,Lufthansa Cityline,A319,Europe
Myanmar,Myanmar Airways International,A319,Asia-Pacific
Russian Federation,Rossiya Airlines,A319,Europe
Philippines,Royal Air Philippines,A319,Asia-Pacific
Jordan,Royal Jordanian,A319,Middle East
Russian Federation,S7 Airlines,A319,Europe
Sweden,Sas,A319,Europe
Singapore,Scoot,A319,Asia-Pacific
China,Shenzhen Airlines,A319,Asia-Pacific
China,Sichuan Airlines,A319,Asia-Pacific
Angola,Sonair,A319,Africa
South Africa,South African Airways,A319,Africa
United States,Spirit Airlines,A319,North America
Germany,Sundair,A319,Europe
Portugal,Tap Air Portugal,A319,Europe
China,Tibet Airlines,A319,Asia-Pacific
Croatia,Trade Air,A319,Europe
Tunisia,Tunisair,A319,Africa
Turkey,Turkish Airlines,A319,Europe
United States,United Airlines,A319,North America
Russian Federation,Ural Airlines,A319,Europe
Mexico,Volaris,A319,Latin America & Caribbean
Spain,Volotea,A319,Europe
Bulgaria,Voyage Air,A319,Europe
Spain,Vueling,A319,Europe
China,West Air,A319,Asia-Pacific
"Iran, Islamic Republic Of",Zagros Airlines,A319,Middle East
China,Air China,A319neo,Asia-Pacific
China,China Southern Airlines,A319neo,Asia-Pacific
China,Sichuan Airlines,A319neo,Asia-Pacific
United States,Spirit Airlines,A319neo,North America
China,Tibet Airlines,A319neo,Asia-Pacific
China,China Southern Airlines,A319,Asia-Pacific
China,Tibet Airlines,A319,Asia-Pacific
China,China Southern Airlines,A319,Asia-Pacific
China,Tibet Airlines,A319,Asia-Pacific
Colombia,Aces Colombia,A320ceo,Latin America & Caribbean
Slovenia,Adria Airways,A320ceo,Europe
Greece,Aegean Airlines,A320ceo,Europe
Netherlands,Aercap,A320ceo,Europe
Ireland,Aerdragon Aviation Partners,A320ceo,Europe
Ireland,Aer Lingus,A320ceo,Europe
Russian Federation,Aeroflot Russian Airlines,A320ceo,Europe
"Korea, Republic Of",Aero K,A320ceo,Asia-Pacific
Germany,Aero Lloyd,A320ceo,Europe
United Arab Emirates,Aerospace Trading Holding Limited,A320ceo,Middle East
Singapore,Aerostar Leasing,A320ceo,Asia-Pacific
Ireland,Aerventure,A320ceo,Europe
Libya,Afriqiyah Airways,A320ceo,Africa
United Arab Emirates,Air Arabia,A320ceo,Middle East
Malaysia,Airasia,A320ceo,Asia-Pacific
Kazakhstan,Air Astana,A320ceo,Europe
Germany,Air Berlin,A320ceo,Europe
Pakistan,Airblue,A320ceo,Asia-Pacific
Egypt,Air Cairo,A320ceo,Africa
New Caledonia,Aircalin,A320ceo,Asia-Pacific
Canada,Air Canada,A320ceo,North America
China,Air China,A320ceo,Asia-Pacific
China,Air China Zhejiang Company,A320ceo,Asia-Pacific
Cã”Te D'Ivoire,Air Cote D'Ivoire,A320ceo,Africa
Ireland,Aircraft Purchase Fleet,A320ceo,Europe
India,Air Deccan,A320ceo,Asia-Pacific
France,Air France,A320ceo,Europe
France,Air Inter,A320ceo,Europe
Jamaica,Air Jamaica,A320ceo,Latin America & Caribbean
United States,Air Lease Corporation,A320ceo,North America
Malta,Air Malta,A320ceo,Europe
New Zealand,Air New Zealand,A320ceo,Asia-Pacific
Italy,Air One,A320ceo,Europe
Kuwait,Alafco,A320ceo,Middle East
Italy,Alitalia,A320ceo,Europe
United States,Allegiant Air,A320ceo,North America
Japan,All Nippon Airways,A320ceo,Asia-Pacific
Switzerland,Alphastream,A320ceo,Europe
Kuwait,Al Sahaab Aircraft Leasing,A320ceo,Middle East
